user,day,anomaly_score,primary_reason,logon_count,logoff_count,unique_pcs,after_hours_ratio,device_connects,file_count,unique_files
MPM0220,2010-09-28,-0.11935301424414779,logon_count (z=1.83),8,6,6,0.875,14.0,31.0,31.0
MPM0220,2010-04-05,-0.11929560949170215,file_count (z=1.91),8,6,6,1.375,12.0,44.0,44.0
MPM0220,2010-07-02,-0.11907625835104252,file_count (z=1.62),7,6,6,1.1428571428571428,13.0,42.0,42.0
MPM0220,2010-07-15,-0.11907625835104252,unique_pcs (z=1.33),7,6,6,1.1428571428571428,13.0,35.0,35.0
MPM0220,2010-01-07,-0.11907625835104252,unique_pcs (z=1.33),7,6,6,1.1428571428571428,13.0,33.0,33.0
AJF0370,2011-02-28,-0.11907625835104252,logon_count (z=1.54),7,6,6,1.1428571428571428,13.0,38.0,38.0
MPM0220,2010-05-03,-0.11907625835104252,unique_pcs (z=1.33),7,6,6,1.1428571428571428,13.0,35.0,35.0
AJF0370,2011-01-07,-0.11896149170483283,file_count (z=2.19),6,6,6,1.6666666666666667,12.0,46.0,46.0
MPM0220,2010-03-18,-0.11879959606672774,logon_count (z=1.83),8,6,6,0.875,14.0,28.0,28.0
MPM0220,2010-03-11,-0.11879959606672774,logoff_count (z=1.80),7,7,6,1.0,14.0,31.0,31.0
AJF0370,2010-02-10,-0.11852302735954157,device_connects (z=1.69),7,6,6,1.1428571428571428,14.0,29.0,29.0
AJF0370,2011-04-12,-0.11852302735954157,device_connects (z=1.69),6,6,6,1.5,14.0,35.0,35.0
AJF0370,2011-03-11,-0.11852302735954157,logon_count (z=1.54),7,6,6,1.4285714285714286,13.0,27.0,27.0
AJF0370,2011-05-10,-0.11824655219783287,file_count (z=2.59),7,6,6,0.8571428571428571,14.0,49.0,49.0
AJF0370,2010-06-15,-0.11824655219783287,file_count (z=3.25),7,6,6,0.8571428571428571,14.0,54.0,54.0
MPM0220,2010-08-09,-0.11824655219783287,unique_pcs (z=1.33),7,6,6,1.1428571428571428,13.0,31.0,31.0
AJF0370,2010-02-25,-0.11824655219783287,logon_count (z=1.54),7,6,6,1.1428571428571428,13.0,31.0,31.0
MPM0220,2010-01-18,-0.11824655219783287,device_connects (z=1.39),7,6,6,0.8571428571428571,14.0,35.0,35.0
AJF0370,2010-12-13,-0.11824655219783287,device_connects (z=1.69),7,6,6,0.8571428571428571,14.0,32.0,32.0
MPM0220,2010-03-16,-0.11824655219783287,device_connects (z=1.39),7,6,6,0.8571428571428571,14.0,32.0,32.0
AJF0370,2010-06-24,-0.11824655219783287,device_connects (z=1.69),7,6,6,0.8571428571428571,14.0,37.0,37.0
MPM0220,2010-04-12,-0.11785555909780998,after_hours_ratio (z=1.85),6,6,6,1.6666666666666667,11.0,35.0,35.0
AJF0370,2010-01-27,-0.11769388238429657,logon_count (z=1.54),7,6,6,0.8571428571428571,13.0,35.0,35.0
MPM0220,2010-02-10,-0.11769388238429657,unique_pcs (z=1.33),7,6,6,0.8571428571428571,13.0,34.0,34.0
AJF0370,2010-11-25,-0.11769388238429657,logon_count (z=1.54),7,6,6,0.8571428571428571,13.0,32.0,32.0
AJF0370,2010-08-05,-0.11769388238429657,device_connects (z=1.69),6,6,6,1.5,14.0,30.0,30.0
AJF0370,2011-02-21,-0.11769388238429657,file_count (z=2.85),7,6,6,0.8571428571428571,13.0,51.0,51.0
AJF0370,2010-03-11,-0.11769388238429657,device_connects (z=1.69),7,6,6,1.4285714285714286,14.0,26.0,26.0
AJF0370,2010-03-30,-0.11769388238429657,logon_count (z=1.54),7,6,6,0.8571428571428571,13.0,36.0,36.0
MPM0220,2010-02-12,-0.11741768766922023,logoff_count (z=1.80),7,7,6,0.7142857142857143,14.0,33.0,33.0
MPM0220,2010-06-04,-0.11741768766922023,device_connects (z=1.39),7,6,6,0.8571428571428571,14.0,30.0,30.0
AJF0370,2010-06-29,-0.11741768766922023,device_connects (z=1.69),7,6,6,0.8571428571428571,14.0,30.0,30.0
AJF0370,2010-01-13,-0.11714158637312388,file_count (z=2.72),6,6,6,1.3333333333333333,14.0,50.0,50.0
AJF0370,2010-07-29,-0.11714158637312388,file_count (z=2.59),6,6,6,1.3333333333333333,14.0,49.0,49.0
AJF0370,2010-07-22,-0.11714158637312388,device_connects (z=1.69),6,6,6,1.3333333333333333,14.0,35.0,35.0
AJF0370,2011-03-21,-0.11714158637312388,logon_count (z=1.54),7,6,6,1.4285714285714286,13.0,26.0,26.0
MPM0220,2010-07-28,-0.11714158637312388,device_connects (z=1.39),7,6,6,0.5714285714285714,14.0,39.0,39.0
AJF0370,2010-05-03,-0.11714158637312388,device_connects (z=1.69),6,6,6,1.3333333333333333,14.0,41.0,41.0
AJF0370,2011-04-07,-0.11714158637312388,logon_count (z=1.54),7,6,6,1.4285714285714286,13.0,26.0,26.0
MPM0220,2010-06-14,-0.11714158637312388,device_connects (z=1.39),6,6,6,1.3333333333333333,14.0,37.0,37.0
MPM0220,2010-05-26,-0.11686557846440959,unique_pcs (z=1.33),7,6,6,0.8571428571428571,13.0,31.0,31.0
MPM0220,2010-09-07,-0.11680834822288244,after_hours_ratio (z=1.61),7,6,6,1.5714285714285714,12.0,26.0,26.0
AJF0370,2010-10-21,-0.11658966391149062,file_count (z=1.65),6,6,6,1.3333333333333333,13.0,42.0,42.0
AJF0370,2010-04-26,-0.11658966391149062,logon_count (z=1.54),7,6,6,0.5714285714285714,13.0,33.0,33.0
MPM0220,2010-10-19,-0.11658966391149062,unique_pcs (z=1.33),6,6,6,1.3333333333333333,13.0,37.0,37.0
MPM0220,2010-09-24,-0.11658966391149062,unique_pcs (z=1.33),7,6,6,0.5714285714285714,13.0,32.0,32.0
AJF0370,2010-03-05,-0.11658966391149062,logon_count (z=1.54),7,6,6,0.5714285714285714,13.0,38.0,38.0
AJF0370,2010-01-06,-0.11658966391149062,logoff_count (z=1.45),6,6,6,1.3333333333333333,13.0,32.0,32.0
IBB0359,2010-11-12,-0.11658966391149062,file_count (z=3.82),6,6,6,1.3333333333333333,13.0,33.0,33.0
BSS0369,2010-09-30,-0.11653245302728821,logon_count (z=2.05),7,7,6,1.7142857142857142,14.0,15.0,15.0
AJF0370,2010-08-03,-0.11631384268279066,device_connects (z=1.69),7,6,6,0.8571428571428571,14.0,28.0,28.0
MPM0220,2010-10-28,-0.11625665114936556,after_hours_ratio (z=1.85),6,6,5,1.6666666666666667,13.0,38.0,38.0
AJF0370,2010-01-21,-0.11576248007179568,logoff_count (z=1.45),6,6,6,1.3333333333333333,13.0,30.0,30.0
MPM0220,2010-02-03,-0.11576248007179568,device_connects (z=1.39),7,6,6,1.1428571428571428,14.0,27.0,27.0
AJF0370,2011-01-17,-0.11548693862640169,device_connects (z=1.69),6,6,6,1.1666666666666667,14.0,38.0,38.0
IBB0359,2010-05-28,-0.11548693862640169,logon_count (z=2.05),8,7,6,1.5,14.0,18.0,18.0
MPM0220,2010-10-06,-0.11542980510604672,unique_pcs (z=1.33),7,6,6,1.1428571428571428,12.0,37.0,37.0
AJF0370,2010-01-26,-0.11542980510604672,after_hours_ratio (z=1.59),6,6,6,1.5,12.0,37.0,37.0
AJF0370,2011-04-06,-0.11521149037902811,file_count (z=2.72),6,6,6,1.0,14.0,50.0,50.0
IBB0359,2010-11-05,-0.11438570450985519,file_count (z=2.53),8,7,7,1.0,14.0,25.0,25.0
AJF0370,2010-01-14,-0.11438570450985519,device_connects (z=1.69),7,6,6,1.1428571428571428,14.0,26.0,26.0
BSS0369,2010-01-25,-0.11432864824873201,after_hours_ratio (z=1.53),6,6,6,1.6666666666666667,14.0,19.0,19.0
AJF0370,2011-02-14,-0.1143286482487319,logon_count (z=1.54),7,6,6,1.1428571428571428,11.0,34.0,34.0
AJF0370,2010-07-06,-0.1143286482487319,file_count (z=2.19),7,6,6,1.1428571428571428,11.0,46.0,46.0
AJF0370,2010-11-01,-0.1143286482487319,logon_count (z=1.54),7,6,6,1.0,12.0,29.0,29.0
MPM0220,2010-10-12,-0.11405359177679641,file_count (z=1.33),7,6,6,0.8571428571428571,12.0,40.0,40.0
AJF0370,2010-03-15,-0.11405359177679641,logon_count (z=1.54),7,6,6,0.8571428571428571,12.0,33.0,33.0
MPM0220,2010-07-16,-0.11405359177679641,unique_pcs (z=1.33),7,6,6,0.8571428571428571,12.0,32.0,32.0
AJF0370,2011-03-02,-0.11405359177679641,file_count (z=2.32),7,6,6,0.8571428571428571,12.0,47.0,47.0
MPM0220,2010-09-13,-0.11383564600954021,device_connects (z=1.39),7,6,6,0.8571428571428571,14.0,27.0,27.0
IBB0359,2010-06-22,-0.11383564600954021,file_count (z=2.86),7,6,6,0.8571428571428571,14.0,27.0,27.0
IBB0359,2011-02-22,-0.1135607562886819,unique_pcs (z=2.08),8,7,7,1.0,14.0,19.0,19.0
IBB0359,2011-01-07,-0.11328595954540754,file_count (z=2.86),6,6,6,1.3333333333333333,14.0,27.0,27.0
MPM0220,2010-02-25,-0.11328595954540754,device_connects (z=1.39),7,6,6,1.4285714285714286,14.0,23.0,23.0
IBB0359,2010-07-30,-0.11273664486582768,logon_count (z=2.05),8,7,6,1.25,14.0,18.0,18.0
IBB0359,2010-03-19,-0.11218770171934145,file_count (z=1.57),7,6,6,1.1428571428571428,14.0,19.0,19.0
IBB0359,2010-10-12,-0.11218770171934145,file_count (z=2.53),7,6,6,1.1428571428571428,13.0,25.0,25.0
AJF0370,2010-04-22,-0.11213079966339967,logon_count (z=1.54),7,6,6,0.5714285714285714,11.0,39.0,39.0
EIS0041,2011-03-23,-0.11213079966339967,file_count (z=2.33),7,6,6,1.4285714285714286,6.0,28.0,28.0
BAL0044,2010-04-30,-0.11213079966339967,file_count (z=2.87),7,6,6,1.4285714285714286,6.0,28.0,28.0
MOS0047,2010-08-19,-0.11191336939247387,device_connects (z=2.31),7,7,7,1.4285714285714286,10.0,20.0,20.0
AJF0370,2011-02-15,-0.11191336939247387,logon_count (z=1.54),7,6,6,1.2857142857142858,13.0,24.0,24.0
MPM0220,2010-03-10,-0.11191336939247387,unique_pcs (z=1.33),7,6,6,1.2857142857142858,13.0,24.0,24.0
EIS0041,2010-01-25,-0.11179960776395625,file_count (z=3.54),6,6,6,1.6666666666666667,7.0,37.0,37.0
AJF0370,2010-10-29,-0.11136498307451392,device_connects (z=1.69),7,6,6,0.5714285714285714,14.0,26.0,26.0
IBB0359,2010-08-10,-0.11109092902066298,device_connects (z=1.48),7,6,6,1.1428571428571428,14.0,18.0,18.0
BSS0369,2010-01-18,-0.11109092902066298,file_count (z=1.68),6,6,6,1.5,14.0,20.0,20.0
BAL0044,2011-02-18,-0.11103410391095336,file_count (z=3.31),7,6,6,1.4285714285714286,5.0,31.0,31.0
MPM0220,2010-06-10,-0.11103410391095336,unique_pcs (z=1.33),6,6,6,1.0,12.0,33.0,33.0
HDS0367,2010-09-15,-0.11070335986824154,file_count (z=3.02),6,6,6,1.6666666666666667,6.0,30.0,30.0
IBB0359,2010-04-29,-0.11054309896640213,device_connects (z=1.48),7,6,6,1.0,14.0,16.0,16.0
IBB0359,2010-07-21,-0.11054309896640213,logon_count (z=1.41),7,6,6,1.1428571428571428,13.0,17.0,17.0
IBB0359,2010-10-14,-0.11054309896640213,logon_count (z=1.41),7,6,6,1.1428571428571428,13.0,17.0,17.0
EIS0041,2011-03-30,-0.11042952959913954,file_count (z=2.33),6,6,6,1.6666666666666667,7.0,28.0,28.0
MOS0047,2010-06-02,-0.11021255543497066,file_count (z=2.84),8,7,7,1.25,7.0,28.0,28.0
IBB0359,2011-05-11,-0.10999563944109736,file_count (z=1.89),7,6,6,0.8571428571428571,14.0,21.0,21.0
BSS0369,2010-01-07,-0.10999563944109736,file_count (z=2.65),6,6,6,1.0,14.0,26.0,26.0
AJF0370,2011-04-15,-0.10993889117356892,logoff_count (z=1.45),6,6,6,1.0,11.0,33.0,33.0
IBB0359,2010-02-22,-0.10972204854848133,file_count (z=1.89),7,6,6,0.8571428571428571,13.0,21.0,21.0
IBB0359,2010-03-26,-0.10972204854848133,file_count (z=2.21),7,6,6,1.1428571428571428,14.0,23.0,23.0
IBB0359,2010-07-16,-0.10972204854848133,file_count (z=1.57),7,6,6,0.8571428571428571,14.0,19.0,19.0
BSS0369,2010-06-08,-0.1096653194752567,after_hours_ratio (z=1.53),6,6,6,1.6666666666666667,13.0,14.0,14.0
BAL0044,2010-02-12,-0.1096653194752566,file_count (z=2.87),7,7,6,1.2857142857142858,6.0,28.0,28.0
MPM0220,2010-10-05,-0.1094485501941388,file_count (z=-1.53),7,6,6,0.8571428571428571,14.0,20.0,20.0
AJF0370,2010-08-02,-0.1094485501941388,logoff_count (z=1.45),6,6,6,1.3333333333333333,13.0,20.0,20.0
IBB0359,2011-04-08,-0.1094485501941388,file_count (z=1.73),7,6,6,0.8571428571428571,14.0,20.0,20.0
MPM0220,2010-06-22,-0.10917514434677,logon_count (z=1.23),7,6,5,1.1428571428571428,13.0,27.0,27.0
IBB0359,2010-08-18,-0.10890183097508588,unique_pcs (z=2.08),7,7,7,1.4285714285714286,13.0,11.0,11.0
MPM0220,2010-04-16,-0.10884515944582795,after_hours_ratio (z=1.68),5,5,5,1.6,13.0,40.0,40.0
AJF0370,2010-04-07,-0.10862861004780755,device_connects (z=1.69),6,6,6,1.1666666666666667,14.0,25.0,25.0
MPM0220,2010-02-02,-0.10862861004780755,logoff_count (z=1.15),6,6,5,1.1666666666666667,13.0,32.0,32.0
MPM0220,2010-03-19,-0.10862861004780755,file_count (z=1.62),6,6,5,1.1666666666666667,13.0,42.0,42.0
AJF0370,2010-05-14,-0.10835548153366725,file_count (z=-1.69),7,6,6,0.8571428571428571,14.0,17.0,17.0
MPM0220,2010-02-01,-0.10829884833462233,logon_count (z=1.23),7,5,5,1.2857142857142858,12.0,39.0,39.0
AJF0370,2010-03-13,-0.10824221910879017,after_hours_ratio (z=-1.70),7,6,6,0.2857142857142857,12.0,37.0,37.0
AJF0370,2011-03-23,-0.10808244540140755,device_connects (z=1.69),6,5,5,1.3333333333333333,14.0,34.0,34.0
AJF0370,2010-02-03,-0.10808244540140755,device_connects (z=1.69),6,5,5,1.3333333333333333,14.0,42.0,42.0
EIS0041,2010-09-09,-0.10802583135774602,file_count (z=2.06),7,6,6,1.4285714285714286,7.0,26.0,26.0
IBB0359,2010-01-13,-0.10780950161978131,file_count (z=1.41),7,6,6,1.1428571428571428,12.0,18.0,18.0
AJF0370,2010-07-26,-0.10753665015755254,after_hours_ratio (z=1.14),6,5,5,1.3333333333333333,13.0,38.0,38.0
AJF0370,2010-09-02,-0.10753665015755254,file_count (z=1.52),6,5,5,1.3333333333333333,13.0,41.0,41.0
MPM0220,2010-08-04,-0.10753665015755254,logon_count (z=1.23),7,5,5,0.5714285714285714,13.0,38.0,38.0
AJF0370,2010-12-27,-0.10753665015755254,file_count (z=2.19),6,5,5,1.3333333333333333,13.0,46.0,46.0
AJF0370,2011-02-10,-0.10753665015755254,file_count (z=3.12),6,5,5,1.3333333333333333,13.0,53.0,53.0
AJF0370,2010-03-31,-0.10753665015755254,file_count (z=-1.95),7,6,6,1.1428571428571428,13.0,15.0,15.0
AJF0370,2010-01-12,-0.10753665015755254,after_hours_ratio (z=1.14),6,5,5,1.3333333333333333,13.0,36.0,36.0
AJF0370,2010-11-17,-0.10753665015755254,logon_count (z=1.54),7,6,6,0.8571428571428571,13.0,24.0,24.0
IBB0359,2010-11-02,-0.10753665015755254,logon_count (z=1.41),7,6,6,1.1428571428571428,12.0,17.0,17.0
IBB0359,2010-09-30,-0.10753665015755254,device_connects (z=1.48),7,6,6,1.4285714285714286,14.0,11.0,11.0
AJF0370,2011-04-20,-0.1072638909834952,logoff_count (z=1.45),6,6,6,1.3333333333333333,13.0,24.0,24.0
MOS0047,2010-09-03,-0.1072638909834952,device_connects (z=2.77),7,6,6,1.4285714285714286,11.0,14.0,14.0
MPM0220,2010-07-09,-0.10720733436711871,after_hours_ratio (z=1.43),6,6,5,1.5,11.0,29.0,29.0
MOS0047,2010-07-08,-0.10720733436711871,file_count (z=2.99),8,7,7,1.0,5.0,29.0,29.0
EIS0041,2010-05-25,-0.10720733436711871,file_count (z=2.46),7,6,6,1.0,6.0,29.0,29.0
EIS0041,2011-04-25,-0.10720733436711871,file_count (z=2.33),7,6,6,1.1428571428571428,7.0,28.0,28.0
IBB0359,2011-02-10,-0.10699122406639439,device_connects (z=1.48),7,6,6,1.2857142857142858,14.0,13.0,13.0
EIS0041,2011-02-04,-0.10693468657949834,file_count (z=2.33),7,6,6,1.1428571428571428,6.0,28.0,28.0
MPM0220,2010-03-09,-0.10693468657949834,file_count (z=1.19),6,6,5,1.3333333333333333,12.0,39.0,39.0
IBB0359,2010-10-28,-0.10671864937504538,file_count (z=2.53),6,6,6,0.8333333333333334,14.0,25.0,25.0
IBB0359,2010-12-29,-0.10671864937504538,logoff_count (z=1.98),7,7,6,1.4285714285714286,12.0,11.0,11.0
AJF0370,2010-08-27,-0.1063331723473816,after_hours_ratio (z=1.86),5,5,5,1.6,12.0,36.0,36.0
BSS0369,2010-10-02,-0.10617377654483695,device_connects (z=1.49),6,6,6,1.0,14.0,17.0,17.0
BSS0369,2010-04-03,-0.10617377654483695,file_count (z=2.00),6,6,6,1.0,14.0,22.0,22.0
BSS0369,2010-02-14,-0.10617377654483695,unique_pcs (z=2.06),7,7,7,0.5714285714285714,13.0,18.0,18.0
HDS0367,2010-01-15,-0.10611729640756928,file_count (z=3.77),7,6,6,0.8571428571428571,8.0,35.0,35.0
EIS0041,2010-06-21,-0.10606082023277619,file_count (z=2.06),6,6,6,1.6666666666666667,6.0,26.0,26.0
IBB0359,2010-12-09,-0.10590147834362107,logon_count (z=1.41),7,6,6,0.5714285714285714,13.0,16.0,16.0
IBB0359,2010-04-07,-0.10590147834362107,device_connects (z=1.48),7,6,6,1.1428571428571428,14.0,14.0,14.0
AJF0370,2010-02-08,-0.10584501730996598,after_hours_ratio (z=1.86),5,5,5,1.6,13.0,31.0,31.0
AJF0370,2010-06-08,-0.10584501730996598,after_hours_ratio (z=1.86),5,5,5,1.6,13.0,30.0,30.0
MPM0220,2010-05-28,-0.1056292722434441,file_count (z=1.91),6,5,5,1.0,13.0,44.0,44.0
MPM0220,2010-07-19,-0.1056292722434441,file_count (z=0.90),6,5,5,1.0,13.0,37.0,37.0
AJF0370,2010-12-16,-0.1056292722434441,device_connects (z=1.03),6,5,5,1.0,13.0,34.0,34.0
AJF0370,2011-04-18,-0.1056292722434441,file_count (z=2.05),6,5,5,1.0,13.0,45.0,45.0
AJF0370,2010-05-07,-0.1056292722434441,file_count (z=2.45),6,5,5,1.0,13.0,48.0,48.0
AJF0370,2010-08-12,-0.1056292722434441,device_connects (z=1.03),6,5,5,1.0,13.0,37.0,37.0
IBB0359,2010-12-16,-0.1056292722434441,logon_count (z=1.41),7,6,6,1.0,13.0,14.0,14.0
MPM0220,2010-01-12,-0.1056292722434441,device_connects (z=0.84),6,5,5,1.0,13.0,35.0,35.0
EIS0041,2011-01-14,-0.1056292722434441,device_connects (z=1.89),7,6,6,1.4285714285714286,7.0,22.0,22.0
AJF0370,2010-12-01,-0.1056292722434441,file_count (z=2.85),6,5,5,1.0,13.0,51.0,51.0
MOS0047,2010-08-16,-0.10535715821315395,device_connects (z=2.31),8,7,7,1.125,10.0,15.0,15.0
MPM0220,2010-10-25,-0.10535715821315395,device_connects (z=1.39),7,6,6,0.5714285714285714,14.0,23.0,23.0
MOS0047,2010-03-17,-0.10535715821315395,after_hours_ratio (z=1.55),7,6,6,1.4285714285714286,8.0,19.0,19.0
BSS0369,2010-09-21,-0.10508513622160942,device_connects (z=1.49),6,6,6,1.3333333333333333,14.0,15.0,15.0
BSS0369,2010-02-26,-0.10508513622160942,file_count (z=1.84),6,6,6,0.8333333333333334,14.0,21.0,21.0
IBB0359,2011-02-15,-0.10508513622160942,device_connects (z=1.48),7,6,6,1.4285714285714286,14.0,10.0,10.0
MPM0220,2010-10-27,-0.1050287324600313,after_hours_ratio (z=1.68),5,5,5,1.6,13.0,28.0,28.0
AJF0370,2011-02-08,-0.10481320623767976,device_connects (z=1.03),6,5,5,1.1666666666666667,13.0,32.0,32.0
BSS0369,2010-01-14,-0.10481320623767976,unique_pcs (z=1.37),6,6,6,1.3333333333333333,12.0,17.0,17.0
AJF0370,2010-12-21,-0.10481320623767976,device_connects (z=1.03),6,5,5,1.0,13.0,32.0,32.0
IBB0359,2010-01-06,-0.10481320623767976,logon_count (z=2.05),8,7,6,1.0,13.0,12.0,12.0
MOS0047,2010-03-16,-0.10481320623767976,after_hours_ratio (z=1.55),7,6,6,1.4285714285714286,8.0,16.0,16.0
IBB0359,2010-09-21,-0.10481320623767976,device_connects (z=1.48),7,6,6,0.5714285714285714,14.0,15.0,15.0
EIS0041,2010-08-17,-0.10481320623767976,file_count (z=1.93),7,6,6,1.4285714285714286,5.0,25.0,25.0
AJF0370,2010-08-16,-0.10454136823024462,after_hours_ratio (z=1.14),6,5,5,1.3333333333333333,13.0,30.0,30.0
AJF0370,2010-03-10,-0.10454136823024462,after_hours_ratio (z=1.14),6,5,5,1.3333333333333333,13.0,31.0,31.0
MPM0220,2010-04-01,-0.10454136823024462,after_hours_ratio (z=1.01),6,5,5,1.3333333333333333,13.0,30.0,30.0
AJF0370,2011-02-09,-0.10454136823024462,after_hours_ratio (z=1.14),6,5,5,1.3333333333333333,13.0,31.0,31.0
IBB0359,2010-12-03,-0.10426962216819413,device_connects (z=1.48),7,6,6,1.1428571428571428,14.0,12.0,12.0
MPM0220,2010-05-24,-0.10426962216819413,file_count (z=0.90),6,5,5,0.6666666666666666,13.0,37.0,37.0
AJF0370,2011-03-20,-0.10426962216819413,device_connects (z=1.03),6,5,5,0.6666666666666666,13.0,37.0,37.0
AJF0370,2010-08-25,-0.10426962216819413,device_connects (z=1.03),6,5,5,0.6666666666666666,13.0,35.0,35.0
HDS0367,2010-03-24,-0.10426962216819413,file_count (z=1.67),7,6,6,1.4285714285714286,6.0,21.0,21.0
AJF0370,2010-01-04,-0.10426962216819413,device_connects (z=1.03),6,5,5,0.6666666666666666,13.0,37.0,37.0
IBB0359,2011-04-15,-0.10426962216819413,device_connects (z=1.48),7,6,6,1.1428571428571428,14.0,12.0,12.0
AJF0370,2010-05-28,-0.10426962216819413,file_count (z=1.25),6,5,5,0.6666666666666666,13.0,39.0,39.0
BSS0369,2010-08-03,-0.10421327562059834,after_hours_ratio (z=1.53),6,6,6,1.6666666666666667,12.0,11.0,11.0
HDS0367,2010-07-08,-0.10421327562059823,file_count (z=3.02),6,6,6,1.3333333333333333,7.0,30.0,30.0
MOS0047,2010-05-03,-0.10399796802042915,after_hours_ratio (z=1.55),7,6,6,1.4285714285714286,7.0,19.0,19.0
BSS0369,2010-02-15,-0.10399796802042915,file_count (z=1.84),6,6,6,1.0,11.0,21.0,21.0
IBB0359,2010-05-25,-0.10399796802042915,logon_count (z=1.41),7,6,6,1.1428571428571428,11.0,15.0,15.0
